geometry,count
"POLYGON ((-78.66548899999999 122.35115916, -77.55849671333333 122.35115916, -77.55849671333333 124.75037832, -78.66548899999999 124.75037832, -78.66548899999999 122.35115916))",0
"POLYGON ((-78.66548899999999 124.75037832, -77.55849671333333 124.75037832, -77.55849671333333 127.14959748, -78.66548899999999 127.14959748, -78.66548899999999 124.75037832))",0
"POLYGON ((-78.66548899999999 127.14959748, -77.55849671333333 127.14959748, -77.55849671333333 129.54881664, -78.66548899999999 129.54881664, -78.66548899999999 127.14959748))",0
"POLYGON ((-78.66548899999999 129.54881664, -77.55849671333333 129.54881664, -77.55849671333333 131.9480358, -78.66548899999999 131.9480358, -78.66548899999999 129.54881664))",0
"POLYGON ((-78.66548899999999 131.9480358, -77.55849671333333 131.9480358, -77.55849671333333 134.34725496, -78.66548899999999 134.34725496, -78.66548899999999 131.9480358))",0
"POLYGON ((-78.66548899999999 134.34725496, -77.55849671333333 134.34725496, -77.55849671333333 136.74647412, -78.66548899999999 136.74647412, -78.66548899999999 134.34725496))",0
"POLYGON ((-78.66548899999999 136.74647412, -77.55849671333333 136.74647412, -77.55849671333333 139.14569328, -78.66548899999999 139.14569328, -78.66548899999999 136.74647412))",0
"POLYGON ((-78.66548899999999 139.14569328, -77.55849671333333 139.14569328, -77.55849671333333 141.54491244, -78.66548899999999 141.54491244, -78.66548899999999 139.14569328))",0
"POLYGON ((-78.66548899999999 141.54491244, -77.55849671333333 141.54491244, -77.55849671333333 143.9441316, -78.66548899999999 143.9441316, -78.66548899999999 141.54491244))",0
"POLYGON ((-78.66548899999999 143.9441316, -77.55849671333333 143.9441316, -77.55849671333333 146.34335076, -78.66548899999999 146.34335076, -78.66548899999999 143.9441316))",0
"POLYGON ((-78.66548899999999 146.34335076, -77.55849671333333 146.34335076, -77.55849671333333 148.74256992, -78.66548899999999 148.74256992, -78.66548899999999 146.34335076))",0
"POLYGON ((-78.66548899999999 148.74256992, -77.55849671333333 148.74256992, -77.55849671333333 151.14178908, -78.66548899999999 151.14178908, -78.66548899999999 148.74256992))",30
"POLYGON ((-78.66548899999999 151.14178908, -77.55849671333333 151.14178908, -77.55849671333333 153.54100824, -78.66548899999999 153.54100824, -78.66548899999999 151.14178908))",30
"POLYGON ((-78.66548899999999 153.54100824, -77.55849671333333 153.54100824, -77.55849671333333 155.9402274, -78.66548899999999 155.9402274, -78.66548899999999 153.54100824))",60
"POLYGON ((-78.66548899999999 155.9402274, -77.55849671333333 155.9402274, -77.55849671333333 158.33944656, -78.66548899999999 158.33944656, -78.66548899999999 155.9402274))",60
"POLYGON ((-78.66548899999999 158.33944656, -77.55849671333333 158.33944656, -77.55849671333333 160.73866572, -78.66548899999999 160.73866572, -78.66548899999999 158.33944656))",30
"POLYGON ((-78.66548899999999 160.73866572, -77.55849671333333 160.73866572, -77.55849671333333 163.13788488, -78.66548899999999 163.13788488, -78.66548899999999 160.73866572))",60
"POLYGON ((-78.66548899999999 163.13788488, -77.55849671333333 163.13788488, -77.55849671333333 165.53710404, -78.66548899999999 165.53710404, -78.66548899999999 163.13788488))",60
"POLYGON ((-78.66548899999999 165.53710404, -77.55849671333333 165.53710404, -77.55849671333333 167.9363232, -78.66548899999999 167.9363232, -78.66548899999999 165.53710404))",30
"POLYGON ((-78.66548899999999 167.9363232, -77.55849671333333 167.9363232, -77.55849671333333 170.33554236, -78.66548899999999 170.33554236, -78.66548899999999 167.9363232))",30
"POLYGON ((-78.66548899999999 170.33554236, -77.55849671333333 170.33554236, -77.55849671333333 172.73476152, -78.66548899999999 172.73476152, -78.66548899999999 170.33554236))",30
"POLYGON ((-78.66548899999999 172.73476152, -77.55849671333333 172.73476152, -77.55849671333333 175.13398068, -78.66548899999999 175.13398068, -78.66548899999999 172.73476152))",0
"POLYGON ((-78.66548899999999 175.13398068, -77.55849671333333 175.13398068, -77.55849671333333 177.53319984, -78.66548899999999 177.53319984, -78.66548899999999 175.13398068))",0
"POLYGON ((-78.66548899999999 177.53319984, -77.55849671333333 177.53319984, -77.55849671333333 179.932419, -78.66548899999999 179.932419, -78.66548899999999 177.53319984))",0
